Timestamp,Conference Title,Short Title,Date,Place,Organisation,Submission Deadline,Registration Deadline,Topics,Website,Editor,Taggs,Other:,Issue,Publication,
4/14/2011 10:51:13,"Complex Adaptive Systems: Energy, Information, and Intelligence",CAS Fall Symposium,"November 4-6, 2011","Arlington, VA",AAAI,2011-05-15,14/10/2011,"This symposium’s theme addresses fundamental issues for understanding complex phenomena: Energy, Information, and Intelligence.  This theme builds upon the previous years’ focus of Threshold Effects (2009) and Resilience, Robustness, and Evolvability (2010). ",http://sites.google.com/site/complexadaptivesystems2011/home/organizing-and-program-committee,Sascha,,,218,,
4/17/2011 0:49:35,Far East Journal of Applied Mathematics,FJAM,Monthly,Online,"Department of Mathematics, University of Allahabad",Journal: Continous,,"Aims and Scope: The  Far East Journal of Applied Mathematics is a peer-reviewed international journal, which publishes original research papers and survey articles in all aspects of Applied Mathematics.",http://pphmj.com/journals/fjam.htm,Richard,,,218,,
4/17/2011 1:01:59,Full Day Workshop on Nonlinear Methods,,"8:30 AM to 5:00 PM, Thursday, August 4, 2011",California,Society for Chaos Theory in Psychology and Life Sciences (SCTPLS),2011-04-30 (proposals),,"A range of nonlinear methodologies that are well suited to broad and interdisciplinary applications across psychology, social sciences, and life sciences: Phase-space diagrams and correlation dimensions, Recurrence Analysis, Power-laws, Nonlinear Regression, Markov Chains, Symbolic Dynamics and Orbital Decomposition.",http://www.societyforchaostheory.org/conf/2011/,Richard,,,218,,
4/17/2011 1:12:08,2011 2nd International Congress on Computer Applications and Computational Science,CACS 2011,15-17 November 2011,"Bali, Indonesia","STMIK JIBES, Indonesia",2011-05-15,9/9/2011,"Topics of interest include, but are not limited to:
- Computer Architecture and VLSI
- Computer Control and Robotics
- Computers in Education and Learning Technologies
- Computer Networks and Data Communications
- Data Mining and Data Engineering
- Energy and Power Systems
- Intelligent Systems and Autonomous Agents
- Internet and Web Systems
- Scientific Computing and Modeling
- Signal, Image and Multimedia Processing
- Software Engineering",http://irast.net/conferences/CACS/2011/,Richard,,,218,,
4/17/2011 1:22:47,International Conference on Knowledge Engineering and Ontology Development,1st KEOD 2011,"26-29 of October, 2011","Paris, France",In cooperation with AAAI and Lissi Laboratory Hosted by the University PARIS-EST Créteil (UPEC) Sponsored by INSTICC,2011-05-10,7/22/2011,"- Knowledge Representation
- Knowledge Acquisition
- Context Analysis and Modeling
- Decision Support Systems
- Expert Systems
- Ontology Engineering
- Networked Ontologies
- Semantic Web
- Process Knowledge and Semantic Services
- Ontology Sharing and Reuse
- Ontology Matching and Alignment
- Knowledge Reengineering
- AI Programming
- Intelligent Problem Solving
- Natural Language Processing
- Human-machine Cooperation
- e-Business and Interoperability Issues
- Intelligent Multi-agent Systems
- Information Integration
- Virtual Enterprises
- Multi-cultural Information Systems
- Applications and Case-studies
- Domain Analysis and Modeling
- Metamodelling
- Education and Training Issues",http://www.keod.ic3k.org/,Richard,,,218,,
4/17/2011 1:34:18,2011 Summer Simulation Multiconference (SummerSim'11),SUMMERSIM 2011,"June 27 – 30, 2011","World Forum, The Hague, Netherlands","The Society for Modeling and Simulation International, SCS in cooperation with ACM/SIGSIM for SCSC and GCMS",2011-04-22 (Work-in-Progress papers up to 6 pages),,,http://www.scs.org/summersim/2011,Richard,,,218,,
4/17/2011 9:31:07,Artificial Intelligence and Simulation of Behaviour Quarterly,AISBQ,Continuous,Online,The Society for the Study of Artificial Intelligence and Simulation of Behaviour,Journal: Quarterly,,"The AISBQ is the regular newsletter of the AISB, which is sent out to around 400 members of the society and made available on the society web site. We invite members to submit articles for future issues of the AISBQ; these could be:

   - overviews of research projects for a general AI audience
   - summaries of important areas of AI and related areas
   - ideas about new research areas in AI
   - critical analyses of developments in AI
   - reviews of books and software
   - reports on past or future AI-related events
   - new ideas that you would like to float and get reactions to",http://www.aisb.org.uk/aisbq,Richard,,,218,,
4/17/2011 9:46:29,AI Journal - Funding Opportunities for Promoting AI Research,,20/05/2011,N/A,,2011-05-20,,"The Artificial Intelligence Journal (AIJ) is one of the longest
established and most respected journals in AI, and since it was
founded in 1970, it has published many of the key papers in the
field. The operation of the Editorial Board is supported financially
through an arrangement with AIJ's publisher, Elsevier. Through this
arrangement, the AIJ editorial board is in the unique position of
being able to make available substantial funds, (of the order of
175,000 Euros per annum), to support the promotion and dissemination
of AI research. These funds are made available through a series of
competitive open calls. This document relates to the fourth call for
funding, with a deadline of May 20, 2011.",https://www.easychair.org/account/signin.cgi?conf=aij4,Richard,,,218,,
4/17/2011 10:03:49,Social and Cultural Cognition,,15-26 July 2011,Germany,,2011-05-31,,"Master- and PhD-students are invited to submit papers or posters on topics related to the main topic of the conference. Paper submissions must be appropriate for short talks of 20 min. for a total 30 min session. Papers may not exceed 2500
words including an abstract of 150 words. Posters should be directly submitted or be described by an abstract of 500 words. Submissions are to be sent to Robert Schütze (robert.schuetze@rub.de) Submission deadline: May 31st , 2011
",http://www.ruhr-uni-bochum.de/philosophy/scc,Richard,,,218,,
4/17/2011 10:12:01,Web Reasoning and Rule Systems,RR2011,"29-30 August, 2011",Ireland,,2011-04-20 (abstract),,,http://www.rr-conference.org/RR2011/,Richard,,,218,,
