Timestamp,Title,Place,Organisation,Requirements,Description,Salary,Contact,Further Information,Application deadline,Taggs,Editor,Other:,Job Type,Issue,
4/15/2011 2:00:23,,Bologna/Italy,Department of Management Science of the University of Bologna,PhD,2-years post-doctoral fellowship on agent-based modelization of productive plants,"1,225 Euro per month",guido.fioretti AT unibo.it,,,,,,Post-doctoral position,218,
4/17/2011 0:33:50,,Department of Geography and Environmental Management,University of Waterloo,"Candidates must have a Ph.D. and a proven research record in one or more of the following areas related to human-environment interaction: spatial analysis, cartographic visualization, social and technological aspects of the geospatial web, or enterprise GIS.","The Department of Geography and Environmental Management at the University of Waterloo invites applications for a tenure track position in Geographic Information Science at the assistant or associate professor level.

The anticipated starting date is July 1, 2011 or later. Referees will be contacted for those included in the short list after an initial review of applications that will commence on May 1, 2011 and continue until the position is filled.",N/A,"Chair, GIScience Search Committee
Department of Geography & Environmental Management
Faculty of Environment
University of Waterloo
Waterloo, ON, N2L 3G1

gemchair@uwaterloo.ca",,,,,,Post-doctoral position,218,
4/17/2011 0:37:31,,Urbanization and Global Change Group,Yale School of Forestry and Environmental Studies (http://urban.yale.edu),"- A completed Ph.D. in geography, economics, urban studies, sustainability science or related field.
- Experience working with large, complex land-change models and handling large geographic datasets.
- Background in either land change modeling, urban theory, land or agricultural economics, or applied statistics/econometrics.
- Experience writing peer reviewed papers.
- Excellent communication skills with the ability to work effectively with scientists of different disciplinary backgrounds and serve as a communication and innovation nexus.
- Problem solving ability.
- A good team player.
- Ability to travel internationally to carry out field work and present results.
- Ability to participate in training workshop April 1-3, 2011 in Arizona.","Post-Doctoral Fellow for research related to urban land change modeling, forecasting, and spatial analysis. The postdoc is expected to write papers documenting research results, present results at meetings, help write research proposals, and participate in various working groups involving the broader scientific community. This is a two-year position with the possibility of a third year based on performance, funding, and operational need. ",N/A,"Send a letter of interest, CV, relevant publications, and names of 4 references to Professor Karen Seto, 195 Prospect Street, New Haven, CT 06511, USA. karen.seto@yale.edu If sending documents by email, indicate “Urban postdoc” in the subject line. Review of applications will begin March 1 and continue until the position is filled. ",,,,,,Post-doctoral position,218,
4/17/2011 1:07:39,,ETH Zurich,FuturICT Research Management Associate,"Applicants should ideally have an academic background and multidisciplinary scientific interest. In addition, strong management skills, technical skills and communication skills will be required, alongside enthusiasm, team spirit and clear commitment to the project goals.","The post is at the Chair of Sociology, in particular of Modeling and Simulation, at ETH Zurich, Switzerland (http://www.soms.etzh.ch/) and will start in May 2011. To support the preparation, coordination, and dissemination of the FuturICT Flagship project (http://www.futurict.eu/), we are looking for one highly skilled full-time staff member to help with project management, proposal writing, stakeholder liaison and publicity.","The salary for the post will be around 80,000 CHF.","To apply, email team@futurict.eu, attaching one PDF file containing a letter of motivation, your CV and letters of recommendation if available. Applications will be evaluated in the order of arrival, and will be accepted until 15 April 2011 at the latest.",,,,,,Other,218,
4/17/2011 11:39:24,,Netherlands,VU University Amsterdam,,"In the research project ""From Modal Logic to Probabilistic Processes and Back"" there is a vacancy for a 4 year PhD position at the VU University Amsterdam.

This is a joint project between the Theoretical Computer Science group at the VU University Amsterdam and the Model Driven Software Engineering group at Eindhoven University of Technology.

The project involves research at the crossroads of modal logic, process algebra, and structural operational semantics, in the context of probabilistic processes.

More information on the project can be found at

   http://www.cs.vu.nl/~tcs/problog.pdf
",,"Wan Fokkink (w.j.fokkink@vu.nl) and Bas Luttik (s.p.luttik@tue.nl)
Deadline for application is May 15, 2011.
",,,,,,PhD position,218,
4/17/2011 11:46:22,,The Turing Centenary Research Project Fellowship,Turing Centenary Research Project,,"The Turing Centenary Research Project - Mind, Mechanism and Mathematics',  supported by a major grant from the John Templeton Foundation, arises from the above-mentioned scientific agenda, and is aimed at researchers still within ten years of receiving their Ph.D. The participants in the research project will be the winners of the 'Mind, Mechanism and Mathematics' competition, designed to provide significant funding support for eight young researchers. Five of the winners will become JTF 'Turing Research Fellows'; and three of the awards will be for JTF 'Turing Research Scholars' in the 16 to 25 age-group, coming under the JTF 'gifted youth' programme. 

The competition is organised in conjunction with the major Turing Centenary Conference, to be held June 22-25, 2012, at the Manchester City Hall and the University of Manchester. The award winners will be duly honoured on the June 23, 2012 centenary of Turing's birth. This meeting, also funded by the JTF, is organised by Professors Andrei Voronkov and Matthias Baaz.",N/A,http://www.mathcomp.leeds.ac.uk/turing2012/give-page.php?408,,,,,,Other,218,
4/17/2011 12:19:48,PhD studentship on Resilient Interactive Medical Devices,England,"UCL, London","Applicants should have a first or upper-second (2:1) class honours degree in Psychology, Artificial Intelligence, Computer Science, Design or another related area and have a clear interest in human-computer interaction.  Strong analytical skills are desirable, as is experience of conducting user studies or implementing novel systems. Candidates should have excellent written and oral communication
skills.","Applications are invited for a PhD studentship on developing interactive medical devices that support interaction that is resilient to human error.  Based at the UCL Interaction Centre , the student will be part of an internationally leading Human-Computer Interaction group within the CHI+MED project.","Tax-free annual stipend starting at £15,590 per annum","Ann Blandford, A.Blandford@ucl.ac.uk",http://www.chi-med.ac.uk/docs/2011_studentship.doc,,,,,PhD position,218,
4/17/2011 12:26:03,Four PhD student positions in linguistics,The Netherlands,Utrecht Institute of Linguistics OTS,,"As part of the NWO graduate pilot programme, the Utrecht Institute of Linguistics OTS (UiL OTS, Utrecht University) is offering 4 PhD positions in Linguistics: The Study of the Language Faculty starting October 1, 2011 at the latest. Applicants should have an MA degree (or nearing completion, expected graduation by the summer of 2011) in theoretical linguistics, computational linguistics or experimental linguistics (language acquisition, psycholinguistics, phonetics, text linguistics), or a linguistically oriented background from a related field like psychology, information science, communication studies, etc.
",,http://www.uu.nl/faculty/humanities/EN/research/researchinstitutes/uilots/Pages/phdprogramme.aspx,http://www.uu.nl/faculty/humanities/EN/research/researchinstitutes/uilots/Pages/phdprogramme.aspx,,,,,PhD position,218,
4/17/2011 12:31:12,Professorship in Logic and Theory of Discrete Systems,Germany,RWTH Aachen University,"A Ph.D. degree is required; additionally, a habilitation (post- doctoral lecturing qualification), an exemplary record of research achievement as an assistant / an associate / a junior professor or university researcher and/or an outstanding career outside academia are highly desirable.  Outstanding teaching abilities and a strong commitment to teaching are essential. It is expected that applicants will be able to teach in German within five years.","The Faculty of Mathematics, Computer Sciences, and Natural Sciences are seeking qualified applicants for teaching and research in the area of theoretical computer science.  The starting date is October 1, 2012.  The research focus of this professorship is the theory of discrete systems based on mathematical
logic and automata theory, aimed at applications in various fields of computer science, such as modelling, specification, verification and synthesis.",,"Informal confidential enquiries may be made to Professor Joost- Pieter Katoen, Head of the Selection Committee, on tel: +49 241 8021200 or email: katoen@cs.rwth-aachen.de.",,,,,,Professorship,218,
4/17/2011 12:33:12,Assistant Professorships and Professorships in Foundations of Computer Science,Namibia,School of Information Technology,,"The School seeks to appoint senior academics in all four of its departments: Business Computing, Systems and Networks, Software Engineering and Basic Computer Studies.   Appointees would enhance the teaching experience of our students, participate in curriculum development, further our research activities and promote mutually beneficial contacts with local industry.  There is great potential for growth, both for the institution and professional careers.",,"Doreen Menjengua, dmenjengua@polytechnic.edu.na",http://www.sit.polytechnic.edu.na/,,,,,Other,218,
