Timestamp,Title,Content,URL,Editor,Other:,Taggs,Issue
4/18/2011 14:08:48,Simulating Medieval Warfare on Supercomputers,"Computer scientists, archeologists, and historians at the University of Birmingham are collaborating on the Medieval Warfare on the Grid project, which involves using grid computing for agent-based simulations of the Byzantine Army as it marched into battle. Agent-based simulations model complex societies by simulating the ways that individuals in that population interact. The simulation works because the behavior of large groups of humans is very similar to that of insects, birds, and most other animals. Although the agent-based simulator does not simulate the actual battles, it does model how the army moved from one location to another, an achievement that requires substantial parallel processing power. The researchers aim to demonstrate a multi-agent model based approach to early military logistics, as well as explore infrastructures and algorithms for building very large multi-agent models.",http://www.technologyreview.com/blog/mimssbits/26595/?p1=Blogs,Sascha,,"ABM technical, ABM methodical",218
4/27/2011 10:31:33,Sensor Data up for Grabs,"Distributed wireless sensors are increasingly being used to monitor all sorts of things—from water quality in a river to the oven in your kitchen. A startup in the U.K. called Pachube wants to kick-start a revolution in new apps and services by providing ways for anyone to share and access all this sensor data. [...]
Pachube is not the only open-source sensor network. For example, OpenSense (open.sen.se) provides a similar model for online feeds and a different set of applications.",http://www.technologyreview.com/communications/37421/?a=f,Sascha,,ABM technical,219
4/29/2011 17:00:21,New JavaScript simulation platform available!,"You can now run social simulation models in your web browser, even on the iPhone,
since they run as HTML5/JavaScript programs (and not as obsolete Java applets
like in NetLogo and many other platforms).",http://portal.simulario.de/public/1/,Sascha,,ABM technical,219
5/11/2011 17:38:08,Slides: Are we there yet?: Simulation modellers on what needs to be done to involve agent-based simulation in practical decision making,"The UK Operational Research Society held a Simulation Special Interest Group meeting at the University  of Surrey in March, under the afore-mentioned title.
Presentations from that day are now available online and may be of interest to you.",http://www.simian.ac.uk/about-simian/latest-news/55-or-society-sig-meet,Sascha,,ABM methodical,220
5/11/2011 17:40:09,Survey among computational social scientists,"Computational social science is a fast-growing and far-flung field. Our goal in this survey is to create a shared directory of scholars and research interests in this area. If you are (or aspire to be!) a computational social scientist, please contribute to the community by filling out this 3 to 5-minute survey about your background and
research interests.
Preliminary results available at Abe's Blog: http://lowlywonk.blogspot.com/2011/05/computational-social-scientists-draft.html",http://umichlsa.qualtrics.com/SE/?SID=SV_4PjqeJXTMryG63i,Sascha,,,220
5/13/2011 9:00:30, European Political Science Association Journal Editorship,"The recently formed European Political Science Association (EPSA) is soliciting expressions of interest in the Editorship of the Association's new journal.  The call, which outlines the goals the EPSA has for the new journal and describes the application procedure, is posted on the EPSA website (see URL below).

All interested colleagues encouraged to give serious consideration to the editorship of this new journal.",http://www.epsanet.org/pdfs/journal_editor_call_epsa.pdf,Richard,POLMETH,,220
5/13/2011 9:03:20,Gosnell Prize,"The Gosnell Committee (Jeff Gill [chair] jgill@wustl.edu, Fred Boehmke frederick-boehmke@uiowa.edu, and Betsy Sinclair betsy@uchicago.edu) would like to hear your nomiminations for this year's prize.

The Gosnell Prize is given for the best work presented at a conference between May 1st, 2010 through April 30th, 2011, and is one of our more important honors. Please let anyone on the commitee know if you have any ideas.  We would appreciate nominations by May 15.",,Richard,POLMETH,,220
5/13/2011 9:53:11,Complete AAMAS-2011 Proceedings Available Online,"The complete proceedings of the AAMAS-2011 Conference, held in Taipei, Taiwan, are now available FOR FREE from: http://www.ifaamas.org/Proceedings/aamas2011/
The complete proceedings of AAMAS-2007, AAMAS-2008, AAMAS-2009, and AAMAS-2010 are also available. The proceedings are provided for the scientific community by the International Foundation for Autonomous Agents and Multi-Agent Systems (IFAAMAS), a not-for-profit organisation whose activities involve organising the annual AAMAS conference. The aim of IFAAMAS is to make all future AAMAS conference proceedings similarly available for free.",http://www.ifaamas.org/,Richard,agents,,220
5/13/2011 18:55:03,Exploring the Future With Modern Information Technology,"The goal of the FuturICT global knowledge accelerator platform proposed by European researchers is to understand how the world works so that imminent crises can be predicted and possibly ameliorated or even prevented. Led by ETH Zurich scientist Dirk Helbing, the project aims to develop the Living Earth Simulator to facilitate the modeling and analysis of techno-commercial-sociological-ecological systems, and will be capable of considering interactions between up to 10 billion individuals. FutureICT plans not just to recognize early-stage financial or economic crises, but also to connect different areas together. Integral to the initiative's success is a platform that can record and analyze massive data volumes, transfer them to computer models, and make them universally usable. New data-mining methods and real-time data set collection also will be vital. The project will be interdisciplinary, bringing together computer scientists, information and communications technology specialists, complexity scientists, economists, sociologists, and sustainability and systemic risk experts. Helbing notes that endemic to the project is the challenge of developing new data encryption, storage, and processing techniques that support beneficial data mining while also protecting individual privacy and confidential commercial data.",http://www.ethlife.ethz.ch/archive_articles/110504_future_ICT_per/index_EN,Sascha,,"Policy, Market Dynamics, Societal Transition",220
5/13/2011 18:57:41,How to Control Complex Networks,"Researchers at the Massachusetts Institute of Technology (MIT) and Northeastern University have developed a computational model that can analyze any type of complex network and find the critical points that can be used to control the entire system. The method can be used to reprogram adult cells and identify new drug targets, among other applications, says MIT professor Jean-Jacques Slotine. The researchers developed an algorithm that determines how many nodes in a network need to be controlled for total network control. They then adapted the algorithm to show how many points are needed and where those points are located. The number of points needed depends on the network's degree distribution, which describes the number of connections per node. The researchers applied their model to several real-life networks, including cell phone networks, social networks, and neuronal networks, calculating the percentage of points that need to be controlled in order to gain total control of the system. The researchers found that sparse networks require a higher number of controlled points than denser networks.",http://web.mit.edu/newsoffice/2011/network-control-0512.html,Sascha,,Social Networks,220
