Timestamp,Title,Short Title,Date,Place,Organisation,Topics,Website,Editor,Taggs,Other,Registration Deadline,Issue
4/15/2011 12:08:15,7th International Conference on Web Information Systems and Technologies,WEBIST 2011,6-9 May,"Noordwijkerhout, Netherlands","Institute for Systems and Technologies of Information, Control and Communication (INSTICC)"," - Special Session on Web Services Principles and Applications - WSPA 2011 
   http://www.webist.org/WSPA.asp
   CHAIR: Marten van Sinderen, University of Twente, The Netherlands
 - Special Session on Semantic Web Applications and Tools - SWAT 2011 
   http://www.webist.org/SWAT.asp
   CHAIR: Joaquim Filipe, Polytechnic Institute of Setubal / INSTICC, Portugal
 - Special Session on e-Business - SSeB 2011 
   http://www.webist.org/SSeB.asp
   CHAIR: Markus Helfert, Dublin City University, Ireland
 - Special Session on Web and Text Mining - WTM 2011 
   http://www.webist.org/WTM.asp
   CHAIR: Ana Fred, Technical University of Lisbon / IT, Portugal",http://www.webist.org/,Sascha,,,,218
4/17/2011 9:58:16,"Agnotology: Ways of Producing, Preserving and Dealing with Ignorance",,30 May - 1 June 2011,"ZiF, Bielefeld University",Martin Carrier (Bielefeld) and Janet Kourany (Notre Dame),"The aim of this workshop is to map out this new ignorance-centered terrain in an effort to determine just what and where it might add to knowledge-centered terrains such as epistemology and philosophy of science and how valuable the additions might be. Topics will range over the naturalness and even inevitability of
certain kinds of ignorance and the unnaturalness or deliberate production of other kinds - for example, on ignorance created through government secrecy and censorship, cultural prejudice, industry influence on scientific research, and so on - and the epistemological and societal implications of such ignorance.
The ultimate goal is to make a significant contribution to this new kind of enquiry.
",http://www.uni-bielefeld.de/philosophie/conferences_2011/agnotology/index.html/,Richard,,,,218
4/17/2011 14:05:50,Automated Specification and Verification of Web Systems,WWV 2011,6/9/2011,Reykjavik University,,"The Workshop on Automated Specification and Verification of Web Systems (WWV) is a yearly workshop that aims at providing an interdisciplinary forum to facilitate the cross-fertilization and the advancement of hybrid methods that exploit concepts and tools drawn from Rule-based programming, Software engineering, Formal methods and Web-oriented research.
",http://rap.dsi.unifi.it/wwv2011/,Richard,,,5/10/2011,218
4/17/2011 17:41:04,Autonomous Agents and Multiagent Systems,AAMAS 2011,May 2-6 2011,"Taipei, Taiwan",,"PROGRAM: The list of accepted long and short papers is available here:

http://www.aamas2011.tw/AcceptedFull_ShortPapers.html
",http://www.aamas2011.tw/index.html,Richard,,,,218
4/17/2011 14:14:53,Computational Logic in Multi-Agent Systems,CLIMA XII,"July 17-18, 2011","Barcelona, Spain",,"The purpose of the CLIMA Workshop Series, now in its 12th edition, is to provide a forum for discussing techniques, based on computational logic, for representing, programming and reasoning about agents and multi-agent systems in a formal way.",http://centria.di.fct.unl.pt/events/climaXII/sessions.html,Richard,,,,218
4/17/2011 10:00:32,Conceptual Analysis and 2-D Semantics,,18-19 June 2011,Germany,Philosophisches Seminar Universitaet zu Koeln,"The conference focuses on issues surrounding conceptual analysis, two-dimensional semantics and their connection. Some of the envisaged topics are:
- The role of conceptual analysis in philosophical inquiry
- The interpretation and the scope of two-dimensional semantics and its bearing on conceptual analysis
- Potential applications of two-dimensional semantics to metaphysics, ethics, epistemology, and the philosophy of mind",http://rvps2011.net/2D/,Richard,,,,218
4/17/2011 13:56:16,"Contexts, Perspectives, and Relative Truth",,June 2011,"Bonn, The conference is part of the Rhine Valley Philosophy Summer 2011","Institut für Philosophie, Universität Bonn","Surely, we might have different opinions about whether or not it is fun to ride a roller coaster. But can they both be true? And are we really disagreeing in case they are? Relativists typically tend to answer both questions in the affirmative. As innocent as this position may seem at first sight, it certainly involves some rather dramatic changes in the way philosophers usually think about formal semantics. Then again, these changes seem to offer elegant solutions to further problems besetting semantics, such as the assessment of future contingents, the variability of knowledge ascriptions and the correct analysis of epistemic modals. The conference will be concerned with different relativist proposals, with its consequences, and with possible alternative analyses of the phenomena motivating relativism.",http://rvps2011.net/relativism/,Richard,,,5/1/2011,218
4/17/2011 11:16:10,Philosophy in an Age of Science,,"May 31 - June 3, 2011",Harvard University  Emerson Hall May 31 and June 3; Brandeis University Hassenfeld Conference Center June 1 and 2,,"A Conference in Honor of Hilary Putnam's 85th Birthday.
",http://www.fas.harvard.edu/~phildept/putnamconference.html,Richard,,,,218
4/17/2011 9:41:26,Summer School of Relying on Others: New Perspectives in Social Epistemology,,7-10 Sep 2011,Germany,Universität zu Köln,"Our special guest this year will be Sanford Goldberg (Northwestern University). The main focus is the intersection of epistemology, philosophy of mind and philosophy of language. We will discuss foundational issues (e.g., the relationship between epistemic and semantic externalism) as well as more specialized ""hot"" issues in social epistemology: the division of epistemic labour, testimony, group epistemology, disagreement, various ways in which others can be epistemically significant for us, and socially extended methods of belief-formation. The Summer School is mainly aimed at professional philosophers and advanced graduate students.",http://www.summerschoolphilosophy.uni-koeln.de/,Richard,,,4/30/2011,218
4/17/2011 11:25:37,Turing MAMLS Meeting,,13-15 Jan 2012,USA,Florida Atlantic University,"There will be a meeting of MAMLS hosted by Florida Atlantic University Jan. 13-15 of 2012. This will be in honor of Alan Turing on the occasion of the centenary of his birth, and is the opening event of Alan Turing year. There will be a special session on Turing's life and times, including a talk by his famed biographer David Leavitt. The scientific program includes talks by Wesley Calvert, Martin Davis,Joel Hamkins, Pietr Hofstra, Russell Miller, Gerald Sacks, Andre Scedrov, Wilfried Sieg, Ted Slaman, and Robert Soare.",http://math.fau.edu/richman/FAU2012.html,Richard,,,,218
