Timestamp,Type of Publication,Title,Abstract,Authors/Editors,Information,Editor,Taggs,Other:,Issue,Journal
4/15/2011 3:43:33,Book,Discrete-Event Modeling and Simulation: Theory and Applications ,"The manuscript:
- Employs the discrete-event system specification (DEVS) as a unifying framework for computational modeling and as a formal foundation for model-driven engineering
- Introduces the theory of discrete-event modeling and simulation
- Shows how DEVS tools are increasingly used in manufacturing modeling, systems biology, and more
- Covers a broad spectrum of applications that highlight successful DEVS use
- Contains a number of chapters on DEVS standardization
- Incorporates contributions from the world’s leading experts, including Bernard P. Zeigler, the creator of the DEVS formalism
> Use promo code 181AE at time of checkout to receive savings on your entire purchase when you visit crcpress.com","Gabriel A. Wainer, Carleton University, Ottawa, Ontario, Canada
Pieter J. Mosterman, The MathWorks, Inc. Natick, Massachusetts, USA",http://www.crcpress.com/product/isbn/9781420072334,Sascha,,,218,
4/17/2011 8:59:48,Proceedings,M&S Optimization Applications in Industry and Engineering,"Prospects for the application of novel methodologies and frameworks related to the design and analysis of complex engineering systems has come about due to recent progress in heuristic optimization technologies within industrial settings. The growth in computational power allowed in particular the description and resolution of complex issues using heuristic optimizations and modeling and simulation (M&S). This Special Issue of aims to highlight academic foundations as well as real-world industrial applications focusing on lessons learned, experienced constraints, and proof of concepts and generalizability of implemented solutions.

Publication Expected: Summer 2012
","Rafael Diaz
Virginia Modeling Analysis and Simulation Center
Suffolk, USA

Andreas Tolk
Old Dominion University
Norfolk, USA",http://www.scs.org/simulation?q=node/245,Richard,,,218,
4/17/2011 9:01:40,Proceedings,Modeling and Simulation of Aeronautical Systems,"The next decades offer the aerospace industry significant opportunities in transport demand and major challenges to solve in different domains: affordability, environmental effects, safety and security. The important issue is to make correct choices of good material and software. As a showcase for multidisciplinary research, this special issue shall bring innovative approaches in composite material behaviors, diagnostic approaches, instrumentation and sensing, implementation of flight and systems models on computers

Publication Expected:  Summer/Fall 2012","Mhamed Itmi, INSA-Rouen, France

Ralph C. Huntsinger, California State University, Chico-Humboldt, USA

Abdelkhalak El Hami, INSA-Rouen, France

Lin Zhang, Beijing University of Aeronautics and Astronautics; (aka) Beihang Univ., China",http://www.scs.org/simulation?q=node/255,Richard,,,218,
4/17/2011 9:03:03,Proceedings,Modeling Sustainability for Third Millennium,"This special issue aims at providing the opportunity for authors to submit original and unpublished articles on innovative ways to use Modeling and Simulation as Enabling Technology for investigating Technical, Economic, Social and Environmental sustainability of Human Enterprises. Simulation represents probably the only methodology to provide to the human race a tool for enabling control of mankind evolution; in fact historical data for understanding the situation evolution in this context could be collected just when it is too late to react. Validated, verified and accredited models represent the cornerstone for anticipating future critical situations.

Publication Expected: Fall 2012","Agostino Bruzzone
MISS-DIPTEM
University of Genoa

Paul Davis
Rand Corporation",http://www.scs.org/simulation?q=node/202,Richard,,,218,
4/17/2011 9:06:23,Article,A Property of Solutions to Linear Monopoly Problems,"We extend the “no-haggling” result of Riley and Zeckhauser (1983) to the class of linear multiproduct monopoly problems when the buyer’s valuations are smoothly distributed. In particular, we show that there is no loss for the seller in optimizing over mechanisms such that all allocations belong to the boundary of the feasible set. The set of potentially optimal mechanisms can be further restricted when the costs are sufficiently low: the optimal mechanisms use only allocations from the “north-east” boundary of the feasible set and the null allocation.","Gregory Pavlov, University of Western Ontario",http://www.bepress.com/bejte/vol11/iss1/art4/?sending=11350,Richard,,,218,
4/17/2011 9:07:16,Article,Interactive Epistemology and Solution Concepts for Games with Asymmetric Information,"We use an interactive epistemology framework to provide a systematic analysis of some solution concepts for games with asymmetric information. We characterize solution concepts using expressible epistemic assumptions, represented as events in the canonical space generated by primitive uncertainty about the payoff relevant state, payoff irrelevant information, and actions. In most of the paper, we adopt an interim perspective, which is appropriate to analyze genuine incomplete information. We relate Delta-rationalizability (Battigalli and Siniscalchi, Advances in Theoretical Economics 3, 2003) to interim correlated rationalizability (Dekel, Fudenberg and Morris, Theoretical Economics 2, 2007) and to rationalizability in the interim strategic form. We also consider the ex ante perspective, which is appropriate to analyze asymmetric information about an initial chance move. We prove the equivalence between interim correlated rationalizability and an ex ante notion of correlated rationalizability.","Pierpaolo Battigalli, Bocconi University
Alfredo Di Tillio, Bocconi University
Edoardo Grillo, Princeton University
Antonio Penta, University of Wisconsin-Madison",http://www.bepress.com/bejte/vol11/iss1/art6/?sending=11350,Richard,,,218,
4/17/2011 9:09:00,Article,The Benefit of Mixing Private Noise into Public Information in Beauty Contest Games,"The authorities often disclose their economic forecasts to the public ambiguously. The more ambiguous the way in which they present the information, the more variously market participants interpret such announcements. Hence, an ambiguous public announcement mixes some private noise to the authorities’ economic forecasts. Using Keynesian beauty contest games, as in Morris and Shin (2002), we find that mixing private noise into public information is often socially beneficial. We also derive the optimal information dissemination policy and find that (i) for a given level of ambiguity, it may be better not to release information, and (ii) if ambiguity can be chosen freely, it is optimal to release the most precise information, but with an appropriate degree of ambiguity.","Hiroki Arato, Tokyo Metropolitan University
Tomoya Nakamura, Kyoto University and Osaka University",http://www.bepress.com/bejte/vol11/iss1/art8/?sending=11350,Richard,,,218,
4/17/2011 9:10:00,Article,Input Production Joint Venture,"In many industries, it is quite common to observe firms delegating the production of essential inputs to independent ventures jointly established with competing rivals. The diffusion of this arrangement and the favourable stance of competition authorities call for the assessment of the social and private desirability of Input Production Joint Ventures (IPJV), which represent a form of input production cooperation, scantly investigated so far. IPJV can be seen as an intermediate organizational setting lying between the two extremes of vertical integration and vertical separation, with a major difference, due to partial collusion. Our investigation is based on an oligopoly model with horizontally differentiated goods. We characterize the conditions under which IPJV is privately optimal finding that firms' incentives may be welfare detrimental. We also provide a rationale for the empirical relevance of IPJV both in terms of its ability to survive and in terms of disengagement incentives which account for the large number of divorces among members of joint ventures. The stance of the paper as to IPJV is more cautious with respect to the received wisdom of competition authorities and in favour of the wide application of the rule of reason.","Gianpaolo Rossini, University of Bologna
Cecilia Vergari, University of Bologna",http://www.bepress.com/bejte/vol11/iss1/art5/?sending=11350,Richard,,,218,
4/17/2011 9:11:04,Article,On the Existence and Social Optimality of Equilibria in a Hotelling Game with Uncertain Demand and Linear-Quadratic Costs,"This paper examines a variant of the Hotelling two-stage mill-pricing duopoly game with “linear-quadratic” transport costs and the uniform customer distribution subject to a random shock. The demand is equally likely to be found anywhere in a fixed interval of feasible product characteristics, with the ex-post differentiation of tastes parametrized to reflect the degree of uncertainty. It turns out that, for uncertainty big enough, the presence of a linear component in the cost function no longer rules out an analytical solution to the game, which is a common problem in spatial competition models. In particular, a subgame-perfect equilibrium is shown to exist in which the firms’ locations approach the socially efficient ones as uncertainty further increases, regardless of the curvature of the cost function. When the demand uncertainty reaches maximum, mill-pricing is equivalent to spatial price discrimination under the most general conditions.","Michal Krol, The University of Manchester",http://www.bepress.com/bejte/vol11/iss1/art7/?sending=11350,Richard,,,218,
4/17/2011 9:21:41,Survey,Expert barriers to Wikipedia,"Wikipedia is now widely regarded as a mature project and is consulted by a large fraction of internet users, including academics and other experts. However, many of them are still reluctant to contribute to it. The aim of this survey is to understand why scientists, academics and other experts do (or do not) contribute to an open collaborative project such as Wikipedia, and whether individual motivation aligns with shared perceptions of Wikipedia within expert communities. We hope this may help us identify ways around barriers to expert participation.

The survey is anonymous and should take about 10 min to complete. It consists of a short introduction, followed by two main sections in which we contrast shared perceptions and personal motivation, and a final section where you can tell us more about yourself. At the end of the survey, you will find a link to follow the results and the ensuing conversation.

This survey is an initiative of the Wikimedia Research Committee.",Dario Taraborelli,http://nitens.org/ls/index.php?sid=21693,Richard,,,218,
4/17/2011 9:25:35,Proceedings,Environmental Modelling & Software 	  Environmental Modelling & Software,"Environmental Modelling and Software publishes contributions, in the form of research articles, reviews, short communications as well as software and data news, on recent advances in environmental modelling and/or software. The aim is to improve our capacity to represent, understand, predict or manage the behaviour of environmental systems at all practical scales, and to communicate those improvements to a wide scientific and professional audience.",A.J. Jakeman,http://www.sciencedirect.com/science/journal/13648152,Richard,,,218,
4/17/2011 12:23:02,Book,Computation and Logic in the Real Worlds,"Computability has played a crucial role in mathematics and computer science, leading to the discovery, understanding and classification of decidable/undecidable problems, paving the way for the modern computer era, and affecting deeply our view of the world. Recent new paradigms of computation, based on biological and physical models, address in a radically new way questions of efficiency and challenge assumptions about the so-called Turing barrier.

This volume, arising from the conference ""Computability in Europe 2007: Computation and Logic in the Real World"", addresses various aspects of the ways computability and theoretical computer science enable scientists and philosophers to deal with mathematical and real-world issues, covering problems related to logic, mathematics, physical processes, real computation and learning theory. At the same time it will focus on different ways in which computability emerges from the real world, and how this affects our way of thinking about everyday computational issues.","S. Barry Cooper  (University of Leeds, UK) & Andrea Sorbi  (Universita degli Studi di Siena, Italy)",http://www.worldscibooks.com/mathematics/p577.html,Richard,,,218,
4/18/2011 15:11:37,Article,The topological issues of cooperation,"In this work we test the dependence of the success of cooperation with the clustering coefficient of the network, for several different families of networks. We have found that this dependence is far from trivial. Additionally, for both stochastic and deterministic dynamics we have also found that there is a strong dependence on the initial composition of the population. This hints at the existence of several different mechanisms that could promote or hinder cluster expansion. We have studied in detail some of these mechanisms by concentrating on completely ordered networks (large clustering coefficient) or completely random networks (vanishing clustering coefficient)",M. N. Kuperman and S. Risau-Gusman,http://arxiv.org/abs/1103.5004,Sascha,"Policy, Social Networks",,218,
4/18/2011 15:22:54,Article,Phase transitions in contagion processes mediated by recurrent mobility patterns,"Human mobility and activity patterns mediate contagion on many levels, including the spatial spread of infectious diseases, diffusion of rumors, and emergence of consensus. These patterns however are often dominated by specific locations and recurrent flows and poorly modeled by the random diffusive dynamics generally used to study them. Here we develop a theoretical framework to analyze contagion within a network of locations where individuals recall their geographic origins. We find a phase transition between a regime in which the contagion affects a large fraction of the system and one in which only a small fraction is affected.(...)",Duygu Balcan and Alessandro Vespignani,http://arxiv.org/abs/1103.4874,Sascha,"Policy, Reputation, Social Networks",,218,
4/18/2011 15:31:24,Article,Natural human mobility patterns and spatial spread of infectious diseases,We investigate a model for spatial epidemics explicitly taking into account bi-directional movements between base and destination locations on individual mobility networks. We provide a systematic analysis of generic dynamical features of the model on regular and complex metapopulation network topologies and show that significant dynamical differences exist to ordinary reaction-diffusion and effective force of infection models.,"Vitaly Belik, Theo Geisel, and Dirk Brockmann",http://arxiv.org/abs/1103.6224,Sascha,"Policy, Social Networks",,218,
4/18/2011 15:35:57,Article,"Simulated Epidemics in an Empirical Spatiotemporal Network of 50,185 Sexual Contacts","Human sexual contacts form a spatiotemporal network - the underlying structure over which sexually transmitted infections (STI) spread. By understanding the structure of this system we can better understand the dynamics of STIs. So far, there has been much focus on the static network structure of sexual contacts. In this paper, we extend this approach and also address temporal effects in a special type of sexual network - that of Internet-mediated prostitution.","Luis E. C. Rocha, Fredrik Liljeros, Petter Holme",http://dx.doi.org/10.1371/journal.pcbi.1001109,Sascha,"Policy, Social Conflict",,218,
4/18/2011 15:40:18,Article,On religion and language evolutions seen through mathematical and agent based models,"Religions and languages are social variables, like age, sex, wealth or political opinions, to be studied like any other organizational parameter. In fact, religiosity is one of the most important sociological aspects of populations. Languages are also a characteristics of the human kind. New religions, new languages appear though others disappear. All religions and languages evolve when they adapt to the society developments. On the other hand, the number of adherents of a given religion, the number of persons speaking a language is not fixed. Several questions can be raised. E.g. from a macroscopic point of view : How many religions/languages exist at a given time? What is their distribution? What is their life time? How do they evolve?. From a microscopic view point: can one invent agent based models to describe macroscopic aspects? Does it exist simple evolution equations?",M. Ausloos,http://arxiv.org/abs/1103.5382,Sascha,Societal Transition,,218,
4/18/2011 15:44:03,Article,"JASSS Volume 14, Issue 2, March 2011","Peer reviewed articles

The Current State of Normative Agent-Based Systems
Christopher D. Hollander and Annie S. Wu

The ABM Template Models: A Reformulation with Reference Implementations
Alan G. Isaac

Innovation as an Emerging System Property: An Agent Based Simulation Model
Cristiano Antonelli and Gianluigi Ferraris

A Model of Political Judgment: An Agent-Based Simulation of Candidate Evaluation
Sung-youn Kim

An Agent Operationalization Approach for Context Specific Agent-Based Modeling
Christof Knoeri, Claudia R. Binder and Hans-Joerg Althaus

A First Approach on Modelling Staff Proactiveness in Retail Simulation Models
Peer-Olaf Siebers and Uwe Aickelin",-,http://jasss.soc.surrey.ac.uk/JASSS.html,Sascha,,,218,
4/29/2011 18:16:24,Working Paper,The Emergence of Homogeneous Norms in Heterogeneous Populations,"Social norms are known to establish social order and cohesion if actors commonly agree on them. In heterogeneous populations, however, normative conflict may result and social order may collapse. In this article, we show by means of a computational simulation model that homogeneous social norms may even come about in heterogeneous societies consisting of groups with competing interests. We demonstrate that punishment oriented at conformity can set off enforcement cascades leading to one generally accepted norm. In our model, agents put pressure on others to perform the same public behavior as they show themselves, even if they privately disapprove it. Interestingly, this type of punishment is more effective to form norms than pressuring others to meet their own private preferences. We conclude that group pressure and punishment may be interrelated phenomena, which can lead to homogeneous behaviors even in well diversified societies.","Dirk Helbing, Wenjian Yu, Karl-Dieter Opp, Heiko Rauhut",http://www.santafe.edu/research/working-papers/abstract/6917afae5bcdbed7da6a2c8bf77bd9e8/,Sascha,"Reputation, Societal Transition",,219,
4/29/2011 18:18:36,Article,The joker effect: Cooperation driven by destructive agents,"Previous results have shown that introducing reputation, allowing for volunteer participation, punishing defectors, rewarding cooperators or structuring agents, can enhance cooperation. Here we present a model which shows how the introduction of rare, malicious agents - that we term jokers - performing just destructive actions on the other agents induce bursts of cooperation. The appearance of jokers promotes a rock-paper-scissors dynamics","Arenas A, Camacho J, Cuesta JA, Requejo RJ",http://dx.doi.org/10.1016/j.jtbi.2011.03.017,Sascha,"Reputation, Societal Transition",,219,
4/29/2011 18:21:09,Article,On the interaction of the stick and the carrot in social dilemmas,"Recent developments in the study of social dilemmas have revealed various cooperative solutions of the “tragedy of the commons” problem. If the public goods game, i.e. the experimental paradigm of the tragedy of the commons, offers the opportunity to punish (the ‘stick’), contributions to the public pool usually increase. Direct rewarding (the ‘carrot’) has been shown to be less effective. If, however, the social dilemma is embedded in a richer context, in which either a good reputation for cooperativeness or mutual rewarding independently pays, cooperation in the PG game may be sustained at high levels. Yet, the proposed mechanisms vary in their efficiency and whether or not in the framework, which combines the stick with the carrot; punishment is strongly reduced compared to just having the punishment option. We review and analyze the relevant literature and discuss the discrepancies.",Manfred Milinskia  and Bettina Rockenbach,http://dx.doi.org/10.1016/j.jtbi.2011.03.014,Sascha,"Reputation, Societal Transition",,219,
4/29/2011 18:22:13,Working Paper,The Dynamics of Generalized Market Exchange,"This paper develops a dynamical price and quantity adjustment process for a fully decentralized market economy, and shows for the first time, using agent-based modeling techniques, that in the long-run, prices and quantities approximate their equilibrium states. The resulting dynamical system is also highly resilient in the face of exogenous shocks.",Herbert Gintis,http://www.santafe.edu/research/working-papers/abstract/a25c254d863905729bbcfa834585b28b/,Sascha,Market Dynamics,,219,
4/29/2011 18:29:57,Article,Moral assessment in indirect reciprocity ,"Indirect reciprocity is one of the mechanisms for cooperation, and seems to be of particular interest for the evolution of human societies. A large part is based on assessing reputations and acting accordingly. This paper gives a brief overview of different assessment rules for indirect reciprocity, and studies them by using evolutionary game dynamics. Even the simplest binary assessment rules lead to complex outcomes and require considerable cognitive abilities.",Karl Sigmund,http://dx.doi.org/10.1016/j.jtbi.2011.03.024,Sascha,"Reputation, Social Networks, Societal Transition",,219,
5/11/2011 17:55:58,Article,Is cooperation viable in mobile organisms? Simple Walk Away rule favors the evolution of cooperation in groups,"The evolution of cooperation through partner choice mechanisms is often thought to involve relatively complex cognitive abilities. Using agent-based simulations, I model a simple partner choice rule, the “Walk Away” rule, where individuals stay in groups that provide higher returns (by virtue of having more cooperators), and “Walk Away” from groups providing low returns. Implementing this conditional movement rule in a public goods game leads to a number of interesting findings: (a) cooperators have a selective advantage when thresholds are high, corresponding to low tolerance for defectors, (b) high thresholds lead to high initial rates of movement and low final rates of movement (after selection), and (c) as cooperation is selected, the population undergoes a spatial transition from high migration (and many small and ephemeral groups) to low migration (and large and stable groups). These results suggest that the very simple “Walk Away” rule of leaving uncooperative groups can favor the evolution of cooperation and that cooperation can evolve in populations in which individuals are able to move in response to local social conditions. A diverse array of organisms are able to leave degraded physical or social environments. The ubiquitous nature of conditional movement suggests that “Walk Away” dynamics may play an important role in the evolution of social behavior in both cognitively complex and cognitively simple organisms.",C. Athena Aktipis,http://dx.doi.org/10.1016/j.evolhumbehav.2011.01.002,Sascha,"Reputation, Societal Transition",,220,
5/11/2011 17:58:54,Article,An agent-based model to study market penetration of plug-in hybrid electric vehicles,"A spatially explicit agent-based vehicle consumer choice model is developed to explore sensitivities and nonlinear interactions between various potential influences on plug-in hybrid vehicle (PHEV) market penetration. The model accounts for spatial and social effects (including threshold effects, homophily, and conformity) and media influences. Preliminary simulations demonstrate how such a model could be used to identify nonlinear interactions among potential leverage points, inform policies affecting PHEV market penetration, and help identify future data collection necessary to more accurately model the system. We examine sensitivity of the model to gasoline prices, to accuracy in estimation of fuel costs, to agent willingness to adopt the PHEV technology, to PHEV purchase price and rebates, to PHEV battery range, and to heuristic values related to gasoline usage. Our simulations indicate that PHEV market penetration could be enhanced significantly by providing consumers with ready estimates of expected lifetime fuel costs associated with different vehicles (e.g., on vehicle stickers), and that increases in gasoline prices could nonlinearly magnify the impact on fleet efficiency. We also infer that a potential synergy from a gasoline tax with proceeds is used to fund research into longer-range lower-cost PHEV batteries.","Margaret J. Eppsteina, David K. Groverb, Jeffrey S. Marshallb and Donna M. Rizzo",http://dx.doi.org/10.1016/j.enpol.2011.04.007,Sascha,"Market Dynamics, Social Networks",,220,
